epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2917.59,1.57292,1.27612,1.55017,0.82397,0.78175,0.84765,0.47581,1.55084,0.95711,1.53503,0.00332317,0.00332317,0.00332317
2,5834.78,1.41695,1.04306,1.41679,0.85228,0.77529,0.85788,0.51123,1.44569,0.9354,1.46783,0.00662355,0.00662355,0.00662355
3,8754.54,1.43473,1.07264,1.42992,0.73968,0.6592,0.71752,0.39837,1.64715,1.24878,1.62946,0.00989094,0.00989094,0.00989094
4,11667.2,1.44723,1.09199,1.44061,0.81161,0.64087,0.74039,0.41851,1.58537,1.19769,1.61775,0.0098515,0.0098515,0.0098515
5,14674.5,1.42178,1.07381,1.43533,0.85344,0.7788,0.87646,0.52073,1.45893,0.9405,1.49317,0.009802,0.009802,0.009802
6,17825.3,1.41487,1.05223,1.43066,0.91086,0.83232,0.92393,0.56552,1.36075,0.80111,1.41943,0.0097525,0.0097525,0.0097525
7,20772.6,1.39897,1.02047,1.41215,0.90865,0.84386,0.91352,0.56072,1.37694,0.8264,1.42635,0.009703,0.009703,0.009703
8,23677.8,1.38049,0.97808,1.3834,0.90557,0.87237,0.9287,0.5756,1.337,0.79531,1.39899,0.0096535,0.0096535,0.0096535
9,26576.2,1.37312,0.95374,1.38678,0.88204,0.86151,0.91365,0.5452,1.39157,0.80436,1.42524,0.009604,0.009604,0.009604
10,29477.9,1.36503,0.93022,1.37396,0.87974,0.88595,0.93137,0.58001,1.35825,0.74987,1.40911,0.0095545,0.0095545,0.0095545
11,32378.6,1.34288,0.92386,1.37062,0.89791,0.90161,0.94221,0.58381,1.32992,0.72076,1.37738,0.009505,0.009505,0.009505
12,35272.3,1.31523,0.90003,1.35258,0.87183,0.8682,0.91303,0.56805,1.35678,0.80713,1.42211,0.0094555,0.0094555,0.0094555
13,38174.4,1.33652,0.90343,1.35729,0.93549,0.89582,0.94638,0.60665,1.30783,0.70184,1.36658,0.009406,0.009406,0.009406
14,41072.5,1.3126,0.88908,1.35373,0.87911,0.88862,0.92612,0.58787,1.31618,0.73041,1.36001,0.0093565,0.0093565,0.0093565
15,43975.2,1.30261,0.87164,1.34053,0.87272,0.8649,0.91536,0.57734,1.32488,0.78834,1.37801,0.009307,0.009307,0.009307
16,46879.6,1.29326,0.85488,1.32331,0.92723,0.89545,0.94037,0.60291,1.28972,0.69813,1.36717,0.0092575,0.0092575,0.0092575
17,49786,1.29374,0.85369,1.33331,0.90172,0.9094,0.94404,0.6093,1.29518,0.69099,1.36507,0.009208,0.009208,0.009208
18,52690.1,1.28334,0.84893,1.32951,0.92604,0.91107,0.95565,0.6239,1.26719,0.67629,1.34172,0.0091585,0.0091585,0.0091585
19,55592.8,1.27461,0.83645,1.32068,0.94019,0.90767,0.95331,0.62579,1.28455,0.6503,1.35256,0.009109,0.009109,0.009109
20,58494.7,1.27948,0.82295,1.31824,0.91699,0.93143,0.95717,0.62895,1.25327,0.64721,1.31603,0.0090595,0.0090595,0.0090595
21,61394.3,1.26505,0.82235,1.311,0.92748,0.88052,0.9489,0.62088,1.28924,0.67365,1.35357,0.00901,0.00901,0.00901
22,64287.9,1.26545,0.80844,1.31624,0.91369,0.89206,0.93846,0.60476,1.28907,0.69716,1.35291,0.0089605,0.0089605,0.0089605
23,67184.1,1.26145,0.81964,1.3104,0.92342,0.89477,0.93715,0.60544,1.30629,0.69621,1.34998,0.008911,0.008911,0.008911
24,70089.8,1.25752,0.79243,1.30195,0.92252,0.91921,0.95767,0.62949,1.26812,0.63043,1.34737,0.0088615,0.0088615,0.0088615
25,72992.5,1.24378,0.79329,1.2862,0.94666,0.91107,0.96312,0.64577,1.24502,0.61305,1.30089,0.008812,0.008812,0.008812
26,75893.4,1.22971,0.78383,1.29114,0.93437,0.91853,0.96006,0.64076,1.22584,0.60993,1.30637,0.0087625,0.0087625,0.0087625
27,78797.1,1.23336,0.78969,1.29525,0.93865,0.91407,0.9553,0.63534,1.26319,0.62317,1.32759,0.008713,0.008713,0.008713
28,81695.9,1.22471,0.76382,1.28711,0.951,0.92736,0.96522,0.65259,1.21153,0.58669,1.27472,0.0086635,0.0086635,0.0086635
29,84601.9,1.2326,0.77363,1.29285,0.94385,0.93415,0.96429,0.64715,1.21939,0.61811,1.30649,0.008614,0.008614,0.008614
30,87507.2,1.22271,0.76529,1.28929,0.93998,0.92329,0.96373,0.6505,1.22544,0.58727,1.29626,0.0085645,0.0085645,0.0085645
31,90421.1,1.22966,0.76724,1.29355,0.94784,0.94026,0.97095,0.65672,1.21311,0.5764,1.30361,0.008515,0.008515,0.008515
32,93331.5,1.22995,0.77018,1.28852,0.95808,0.91718,0.95927,0.6431,1.23589,0.60387,1.28853,0.0084655,0.0084655,0.0084655
